"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"MOHTİVİLLA BUNGALOV","","05315851043","",""
"ÖZ VİLLA SAPANCA","ozvillasapanca","05547205461","",""
"MELONE SAPANCA","@melonesapanca","+905548543054","",""
"ELEMENT SAPANCA","@elementsapanca","+905431909494","",""
"CHERRY HİLL VİLLAS","cherryhillvillas","908508501054","",""
"PAGO VİLLA SAPANCA","pagovilla","05550341100","",""
"SAPANCA VİLLA WHİTE & İNDİA BUNGALOV","sapancavillawhite","05308782784","",""
"SAPANCA MELİH VİLLA","sapanca_melih.villa","05066389460","",""
"SAPANCA IŞIKLI BAHÇE VİLLA & BUNGALOV","sapancaisiklibahce","05078564121","",""
"MERCAN VİLLAM","mercanvillam","05326810646","",""
"KIRKPINAR GÖL YOLU EVLERİ","golyoluevleri","05309327141","",""
"YAKUT VİLLAS","yakutvillas","05327237706","",""
"SAPANCABA VİLLAS","sapancaba","05325515441","",""
"SAPANCA TREE HOUSE","@sapancatreehouse","+905542830604","",""
"SAPANCA AŞİYAN KONAKLAMA","sapancasiyan54","05324318014","",""
"MERJAN SAPANCA","@merjansapanca","+905339173354","",""
"SAPANCA VİLLA KİVİ","sapancavillakivi","05336396254","",""
"TROPİCAL SAPANCA","tropicalsapanca","05332032823","",""
"VİLLA SEU","villa.seu","05427944414","",""
"SEÇKİN VİLLA BUNGALOV","seckinvillabungalov","05339628754","",""
"ALPHAN HOUSE","@alphanhouse","+905321733354","",""
"HOUSE OF TRİBECA HOTEL","houseoftribecahotel","05325753054","",""
"KOZAHAN DAĞ EVİ","@sapancakozahandagevi","+905423323081","",""
"YAKUT VİLLAM","yakut.villam","05333806973","",""
"BungoRise Bungalov","bungorise","05409950000","",""
"SAPANCA NATUREL STONE VİLLALARI","sapancanaturelstonevillalari","05469421637","",""
"SUNSET VİLLA BUNGALOV","sunsetvillabungalov","05542532779","",""
"VİLLA KEYİF SAPANCA","villakeyifsapanca","05547015381","",""
"The Red Witch Villa","@theredwitchboutiquehotelvilla","+905324082958","",""
"SAPANCA LAVENDER","@sapancalavender","+902645980204","",""
"VİLLA LİYA","villaliya2022","05336683837","",""
"THE BELLUS SAPANCA","@thebellussapanca","+905374939257","",""
"VİLLA VADİ","sapancavillavadi","05525344154","",""
"VİLLA MİMOZA SAPANCA","sapancavillamimoza","05335574165","",""
"BEGONVİL KONAKLAMA","begonvilkonaklama","05010703125","",""
"SAPANCA DEMİR DAĞ EVİ","sapancademirdagevi","05326046702","",""
"LOTUS VİLLA BUNGALOV","lotusvillabungalov","05333395098","",""
"VİLLA EGE SAPANCA","villa_ege_sapanca","05418008088","",""
"SAPANCA LOCA DAĞ EVİ","@sapancalocadagevi","+905451035454","",""
"ALYAS HAUS SAPANCA","@alyashaussapanca","+905334324954","",""
"KIRKPINAR LİFE VİLLA","kirkpinar_life","05370114348","",""
"SAPANCA VİLLA VADİ","ssvillavadi","05333590886","",""
"YEL DEĞİRMENİ VİLLALARI SAPANCA","villayeldegirmeni","05524605409","",""
"SAPANCA MAVİ VİLLA","sapancamavi","05332572027","",""
"4 MEVSİM DAĞ EVİ SAPANCA","4mevsimdagevisapanca","05367959480","",""
"VİLLA ARAS","villa.arass","05353999998","",""
"VİLLA HERMES SAPANCA","villahermessapanca","05399704797","",""
"BEGONVİL-LA&BUNGALOV","sapancabegonvilla","05325921043","",""
"SAPANCA VİLLA FİVESTAR","sapancavilla_fivestar","05541159784","",""
"SAPANCA SUNRİSE VİLLA - SUNRİSE BUNGALOW","sapancasunrisevilla_","05464273209","",""
"SAPANCA VİLLA MOONLİGHT","sapancavillamoonlight","05462460556","",""
"TABLO SAPANCA","@tablosapanca","+905324590654","",""
"CASA MİA AĞAÇ EVLERİ","sapancacasamiasuit","05304218017","",""
"BOSS VİLLA GARDEN","bossvillagarden","05307854554","",""
"BEST WESTERN PLUS SAPANCA","@bwhsapanca","+905459734636","",""
"SOFHAN KIRKPINAR","@sofhankirkpinar","+905306815555","",""
"VİLLA SAPANCA SARI EV","sapancakonukevi","05057854546","",""
"ŞENGÜL KONAKLAMA","sengulkonaklama","05302043461","",""
"VİLLA AZUL & VERDE","villaazulverdesapanca","05014804954","",""
"EİGHT SAPANCA","eightsapanca","05424200088","",""
"SAPANCA BİZİM EV","sapancabizimev","05334311918","",""
"NİL KONAKLAMA SAPANCA","nilkonaklamasapanca","05323798597","",""
"ERDİL VİLLA","erdilvilla","05331641043","",""
"AKNA DAĞ EVİ","@aknadagevi","+905313448486","",""
"SAPANCA ŞELALE VİLLA BUNGALOV","sapancaselalevillabungalov","05316299135","",""
"VİLLA BND SAPANCA","villabndsapanca","05300149884","",""
"VİLLA ALİ ASAF","villaaliasaf","05346019505","",""
"SAPANCA MODERN","@sapancamodern","+905320674068","",""
"HİDDEN GARDEN VİLLA","hiddengardenvilla","05335010454","",""
"VİLLA MOYO","sapancavillamoyo","05324141770","",""
"OPİA SAPANCA","opiasapanca","05320543775","",""
"SAPANCA GREEN DOME","@sapancagreendome","+905055950354","",""
"SOON SAPANCA","@soonsapanca","+905303010078","",""
"HERMANOS GLAMPİNG DOME","hermanosglamping","05540100054","",""
"CORNER DOME SAPANCA","@cornerdomesapanca","+905437951734","",""
"ZUMBA GLAMPING SAPANCA","@zumba_glamping","+905422422354","",""
"SAPANCA GLAMPİNG","sapanca_glamping","05435362533","",""
"SAPANCA LAHZA GLAMPİNG","","05321343303","",""
"DOME 212 SAPANCA","@dome212sapanca","+905350229176","",""
"PHALESİA GLAMPİNG HOTEL & MEDİTATİON","phalesiasapanca","05421010008","",""
"WHİTEMOON","sapancawhitemoon","05453665454","",""
"NONİVA RESORT SAPANCA","nonivaresortsapanca","05322090658","",""
"ROLEDA GLAMPİNG","roledaglamping","05322521854","",""
"ÖZLİFE SAPANCA","ozlifesapanca","05315002794","",""
"S'MORE SAPANCA GLAMPİNG HOTEL","smoresapanca","905318637261","",""
"NİL'S DOME SAPANCA","nilsdome","05309103030","",""
"SAPANCA DOME GLAMPİNG","sapancadome","02646450141","",""
"FREE DOME SAPANCA","@sapancafreedome","+905456353627","",""
"HAURA SAPANCA","@haurasapanca","+905305442142","",""
"EVASİON SAPANCA","evasionsapanca","05301846979","",""
"MEGA GLAMPİNG","megaglampingsapanca","05379795333","",""
"ada garden sapanca","@adagardensapanca","+905326295505","",""
"Timeout Sapanca Glamping Dome","@timeoutsapanca","+905304692082","",""
"Bahne Bungalov","@bahanebungalow","+905422195799","",""
"Deco Home","@deco.home38","+905528398938","",""
